Title,Year,Album.debut,Duration,Other.releases,Genre,Songwriter,Lead.vocal,Top.50.Billboard
Shakin' in the Sixties,1969,,150,0,Pop/Rock,Lennon,Lennon,-1
She Came in Through the Bathroom Window,1969,Abbey Road,117,6,"Rock, Pop/Rock",McCartney,McCartney,-1
She Loves You,1963,UK: A Collection of Beatles Oldies US: The Beatles Second Album,138,45,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,3
She Said She Said,1966,Revolver,157,7,"Psychedelic Rock, Acid Rock[, Pop/Rock",Lennon,Lennon,-1
She's a Woman,1964,UK: Rarities US: Beatles '65,183,28,"Rock and Roll, R&B, Pop/Rock",McCartney,McCartney,31
She's Leaving Home,1967,Sgt. Pepper's Lonely Hearts Club Band,215,7,"Baroque Pop, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1
Shout,1964,Anthology 1,135,0,"Rock and Roll, Gospel, Pop/Rock","Isley, Isley, Isley","Lennon, McCartney, Harrison and Starkey",-1
Sie Liebt Dich,1964,UK: Rarities US: Rarities,139,9,"Rock and Roll, Pop/Rock",Lennon and McCartney/Nicolas/Montague,Lennon-McCartney,-1
Slow Down,1964,UK: Rock 'n' Roll Music US: Something New,175,21,"Rock and Roll, Pop/Rock",Williams,Lennon,44
So How Come (No One Loves Me),1963,Live at the BBC,114,0,Pop/Rock,"Bryant, Bryant",Harrison,-1
Soldier of Love (Lay Down Your Arms),1963,Live at the BBC,119,0,"R&B, Pop/Rock","Cason, Moon",Lennon,-1
Some Other Guy,1963,Live at the BBC,121,0,"Rock and Roll, Pop/Rock","Leiber, Stoller, Barrett",Lennon and McCartney,-1
Something,1969,Abbey Road,179,16,"Rock, Pop/Rock",Harrison,Harrison,30
Sour Milk Sea,1968,,236,0,"Hard Rock, Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1
Step Inside Love/Los Paranoias,1968,Anthology 3,150,0,"Folk Rock, Pop/Rock","McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)",McCartney,-1
Strawberry Fields Forever,1966,Magical Mystery Tour,245,20,"Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock",Lennon,Lennon,33
Sun King,1969,Abbey Road,146,6,"Art Pop, Pop/Rock",Lennon,Lennon,-1
Sure to Fall (In Love with You),1963,Live at the BBC,141,0,Pop/Rock,"Perkins, Claunch, Cantrell",McCartney,-1
Sweet Little Sixteen,1963,Live at the BBC,141,0,"Rock and Roll, Pop/Rock",Berry,Lennon,-1
Take Good Care of My Baby,1962,,150,0,"Rock and Roll, Pop/Rock","Goffin, King",Harrison,-1
Taking a Trip to Carolina,1969,Let It Be... Naked - Fly on the Wall bonus disc,150,0,Pop/Rock,Starkey,Starkey,-1
Taxman,1966,Revolver,159,10,"Rock, Hard Rock, Psychedelic Rock, Pop/Rock","Harrison, with uncredited contribution from Lennon",Harrison,-1
Teddy Boy,1969,Anthology 3,145,0,"Folk Rock, Pop/Rock",McCartney,McCartney,-1
Tell Me What You See,1965,UK: Help! US: Beatles VI,156,10,"Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1
Tell Me Why,1964,UK: A Hard Day's Night US: Something New,130,15,"Rock and Roll, Pop/Rock",Lennon,Lennon,-1
Thank You Girl,1963,UK: Rarities US: The Beatles Second Album,121,21,"Merseybeat, Pop/Rock",Lennon and McCartney,Lennon and McCartney,46
That Means a Lot,1965,Anthology 2,146,0,"Rock, Pop/Rock",McCartney,McCartney,-1
That'll Be the Day,1958,Anthology 1,136,0,"Rock and Roll, Rockabilly, Pop/Rock","Allison, Holly, Petty",Lennon,-1
That's All Right (Mama),1963,Live at the BBC,176,0,"Rockabilly, Pop/Rock",Crudup,McCartney,-1
The Ballad of John and Yoko,1969,UK: 1967-1970 US: Hey Jude,179,14,"Rock and Roll, Pop/Rock",Lennon,"Lennon, with McCartney",28
The Continuing Story of Bungalow Bill,1968,The Beatles,198,8,"Folk Rock, Pop/Rock",Lennon,"Lennon, with Starkey",-1
The End,1969,Abbey Road,140,6,"Hard Rock, Art Rock, Heavy Metal, Pop/Rock",McCartney,McCartney,-1
The Fool on the Hill,1967,Magical Mystery Tour,180,15,"Baroque Pop, Pop/Rock",McCartney,McCartney,-1
The Honeymoon Song,1963,Live at the BBC,150,0,Pop/Rock,"Theodorakis, Sansom",McCartney,-1
The Inner Light,1968,UK: Rarities US: Rarities,156,10,"Indian Music, Raga Rock, Pop/Rock",Harrison,Harrison,-1
The Long and Winding Road,1969,Let It Be,220,18,Pop/Rock,McCartney,McCartney,20
The Night Before,1965,Help!,153,13,Electronic Pop/Rock,McCartney,McCartney,-1
The Saints,1962,,150,0,Pop/Rock,"Traditional, arr. Sheridan",Sheridan,-1
The Sheik of Araby,1962,Anthology 1,150,0,"Jazz, Pop/Rock","Smith, Wheeler-Snyder",Harrison,-1
The Word,1965,Rubber Soul,161,6,"Rock, Pop/Rock",Lennon and McCartney,"Lennon, McCartney and Harrison",-1
There's a Place,1963,UK: Please Please Me US: Rarities,109,24,"Merseybeat, Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1
Things We Said Today,1964,UK: A Hard Day's Night US: Something New,158,22,"Rock, Pop/Rock",McCartney,McCartney,-1
Think for Yourself,1965,Rubber Soul,138,7,Pop/Rock,Harrison,Harrison,-1
This Boy,1963,UK: Rarities US: Meet The Beatles!,133,23,"Doo Wop, Pop/Rock",Lennon,"Lennon, with McCartney and Harrison",-1
Three Cool Cats,1962,Anthology 1,128,0,"R&B, Pop/Rock","Leiber, Stoller",Harrison,-1
Ticket to Ride,1965,Help!,190,31,"Power Pop, Jangle Pop, Folk Rock, Pop/Rock",Lennon,"Lennon, with McCartney",17
Till There Was You,1963,UK: With the Beatles US: Meet The Beatles!,136,22,Pop/Rock,Willson,McCartney,-1
Tip of My Tongue,1962,,150,0,"Beat, Power Pop, Pop/Rock",Lennon and/or McCartney,McCartney/Lennon,-1
To Know Her is to Love Her,1963,Live at the BBC,138,0,Pop/Rock,Spector,Lennon,-1
Tomorrow Never Knows,1966,Revolver,178,14,"Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock",Lennon,Lennon,-1
Too Much Monkey Business,1963,Live at the BBC,176,0,"Rock and Roll, R&B, Pop/Rock",Berry,Lennon,-1
Twist and Shout,1963,UK: Please Please Me US: The Early Beatles,125,44,"Rock and Roll, R&B, Pop/Rock","Medley, Russell",Lennon,13
Two of Us,1969,Let It Be,213,11,"Folk Rock, Pop/Rock",McCartney,"McCartney, with Lennon",-1
Wait,1965,Rubber Soul,136,8,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1
Watching Rainbows,1969,,248,0,"Rock, Pop/Rock","Lennon, with McCartney",Lennon,-1
We Can Work It Out,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,135,19,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",9
What Goes On,1965,UK: Rubber Soul US: Yesterday and Today,170,9,"Country rock, Country, Pop/Rock","Lennon and McCartney, with Starkey",Starkey,-1
What You're Doing,1964,UK: Beatles for Sale US: Beatles VI,150,8,"Jangle pop, Pop/Rock",McCartney,McCartney,-1
What's The New Mary Jane,1968,Anthology 3,372,0,"Psychedelic Rock, Musique Concrete, Experimental Music, Outsider Music, Pop/Rock",Lennon,Lennon,-1
When I Get Home,1964,UK: A Hard Day's Night US: Something New,138,14,"Rock and Roll, Pop/Rock",Lennon,Lennon,-1
When I'm Sixty-Four,1966,Sgt. Pepper's Lonely Hearts Club Band,157,7,"Music Hall, Pop/Rock",McCartney,McCartney,-1
While My Guitar Gently Weeps,1968,The Beatles,286,18,"Rock, Psychedelic Rock, Blues Rock, Pop/Rock",Harrison,Harrison,-1
Why Don't We Do It in the Road?,1968,The Beatles,102,8,"Rock, Blues, Pop/Rock",McCartney,McCartney,-1
Wild Honey Pie,1968,The Beatles,52,7,"Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock",McCartney,McCartney,-1
Winston's Walk,1960,,150,0,,Lennon,N/A,-1
With a Little Help from My Friends,1967,Sgt. Pepper's Lonely Hearts Club Band,164,6,"Pop Rock, Psychedelic Pop, Pop/Rock",Lennon and McCartney,Starkey,-1
Within You Without You,1967,Sgt. Pepper's Lonely Hearts Club Band,305,7,"Indian Classical, Raga Rock, Pop/Rock",Harrison,Harrison,-1
Woman,1965,,145,0,"Folk Rock, Pop/Rock",McCartney (as Bernard Webb or A. Smith),McCartney,-1
Words of Love,1964,UK: Beatles for Sale US: Beatles VI,122,16,Pop/Rock,Holly,Lennon and McCartney,-1
Yellow Submarine,1966,Revolver,158,24,"Children's Music, Folk, Pop/Rock",McCartney,Starkey,25
Yer Blues,1968,The Beatles,241,11,"Blues Rock, Hard Rock, Pop/Rock",Lennon,Lennon,-1
Yes It Is,1965,UK: Rarities US: Beatles VI,161,16,Pop/Rock,Lennon,"Lennon, McCartney and Harrison",-1
Yesterday,1965,UK: Help! US: Yesterday and Today,123,33,"Baroque Pop, Pop/Rock",McCartney,McCartney,12
You Can't Do That,1964,UK: A Hard Day's Night US: The Beatles Second Album,157,25,"Rock and Roll, R&B, Pop/Rock",Lennon,Lennon,-1
You Know My Name (Look Up the Number),1967,UK: Rarities US: Rarities,261,4,"Comedy Rock, Jazz, Experimental Rock, Avant-Garde, Novelty, Pop/Rock","Lennon, with McCartney",Lennon and McCartney,-1
You Know What to Do,1964,Anthology 1,119,0,Pop/Rock,Harrison,Harrison,-1
You Like Me Too Much,1965,UK: Help! US: Beatles VI,155,12,Pop/Rock,Harrison,Harrison,-1
You Never Give Me Your Money,1969,Abbey Road,242,7,"Rock, Pop/Rock",McCartney,McCartney,-1
You Won't See Me,1965,Rubber Soul,202,11,Pop/Rock,McCartney,McCartney,-1
You'll Be Mine,1960,Anthology 1,98,0,"R&B, Experimental, Pop/Rock",Lennon and McCartney,McCartney,-1
You're Going to Lose That Girl,1965,Help!,140,6,"Rock, Pop/Rock",Lennon,Lennon,-1
You've Got to Hide Your Love Away,1965,Help!,131,12,FolkPop/Rock,Lennon,Lennon,-1
You've Really Got a Hold on Me,1963,UK: With the Beatles US: The Beatles Second Album,182,2,"Soul, Pop/Rock",Robinson,Lennon and Harrison,-1
Young Blood,1963,Live at the BBC,116,0,Pop/Rock,"Leiber, Stoller",Harrison,-1
Your Mother Should Know,1967,Magical Mystery Tour,149,13,"Music Hall, Vaudeville Rock, Psychedelic Pop, Pop/Rock",McCartney,McCartney,-1
